Table 1. Data Set for 166 Transects Across Oceanic Subduction Zonesa


Reference Frame Transects	HS3	SB04	NNR	Slab Age at Trench	Upper Plate Strain	Main Upper Plate
	Vsubn	Vupn	Vtn	Vsubn	Vupn	Vtn	Vsubn	Vupn	Vtn			
C_ALE6	62.8	3.3	3.3	44	-15	-15	37	-23	-23	63	0	N-Amer.
E_ALE1	71.3	6	6	50	-15	-15	44	-21	-21	63	0	N-Amer.
E_ALE2	73	7.3	7.3	51	-15	-15	46	-19	-19	61	0	N-Amer.
E_ALE3	70.9	6	6	49	-15	-15	45	-20	-20	59	0	N-Amer.
E_ALE4	70	5.7	5.7	48	-16	-16	44	-20	-20	58	0	N-Amer.
E_ALE5	67.9	4.8	4.8	47	-16	-16	43	-20	-20	53	0	N-Amer.
W_ALA1	65.1	3.7	3.7	44	-17	-17	41	-20	-20	52	0	N-Amer.
W_ALA2	63.7	3.2	3.2	44	-16	-16	41	-20	-20	52	0	N-Amer.
W_ALA3	62.4	3	3	43	-17	-17	40	-19	-19	52	0	N-Amer.
W_ALA4	65	7	7	45	-13	-13	45	-13	-13	52	0	N-Amer.
W_ALA5	62.5	4.5	4.5	44	-14	-14	43	-15	-15	49	0	N-Amer.
E_ALA1	60.7	4.1	4.1	42	-15	-15	42	-14	-14	46	0	N-Amer.
E_ALA2	57.6	6.2	6.2	40	-12	-12	42	-10	-10	45	0	N-Amer.
E_ALA3	54.4	6.4	6.4	38	-10	-10	41	-7	-7	40	0	N-Amer.
E_ALA4	49.7	6.8	6.8	34	-9	-9	38	-5	-5	39	0	N-Amer.
E_ALA5	50.5	-1.5	-1.5	35	-17	-17	35	-17	-17	39	0	N-Amer.
CASC1	25	-21	-18.8	29	-17	-14	28	-18	-16	5	0	N-Amer.
CASC2	16.5	-22	-19.7	22	-17	-15	21	-18	-15	10	0	N-Amer.
CASC3	7.5	-23.8	-22.8	16	-16	-15	15	-16	-15	11	0	N-Amer.
CASC4	0.3	-24	-24	12	-13	-13	11	-13	-13	11	0	N-Amer.
CASC5	-2.7	-25.3	-23.9	9	-14	-12	9	-14	-14	10	0	N-Amer.
MEX1	4	-35.7	-35.7	18	-22	-22	29	-11	-11	8	0	N-Amer.
MEX2	17.8	-29.7	-29.7	25	-22	-22	37	-11	-11	8	0	N-Amer.
MEX3	26.4	-25.1	-25.1	31	-20	-20	43	-9	-9	15	0	N-Amer.
MEX4	32.5	-23.2	-23.2	36	-21	-21	49	-8	-8	15	0	N-Amer.
MEX5	37.8	-21.7	-21.7	41	-19	-19	53	-7	-7	15	0	N-Amer.
MEX6	43.9	-16.7	-16.7	44	-16	-16	56	-5	-5	15	0	N-Amer.
COST1	42.2	-21.4	-21.4	52	-12	-12	65	2	2	18	0	Carribean
COST2	49	-19.6	-19.6	57	-11	-11	72	3	3	22	0	Carribean
COST3	54.5	-18.5	-18.5	62	-11	-11	76	3	3	24	0	Carribean
COST4	55.3	-22.3	-22.3	67	-11	-11	82	4	4	28	0	Carribean
COST5	62	-21.6	-21.6	74	-9	-9	90	6	6	26	0	Carribean
COL1	14.9	-38.6	-27.4	39	-15	-3	44	-9	2	19	-1	S-Amer.
COL2	13.6	-35.9	-33	36	-13	-10	40	-10	-7	15	-1	S-Amer.
COL3	16.1	-38.2	-25.2	41	-13	0	46	-8	5	12	-1	S-Amer.
PER1	22.5	-46.6	-46.6	51	-18	-18	64	-5	-5	30	-1	S-Amer.
PER2	23.9	-47	-47	54	-17	-17	68	-3	-3	30	-1	S-Amer.
PER3	24.8	-45.9	-45.9	53	-17	-17	70	-1	-1	31	-1	S-Amer.
PER4	25.1	-45.1	-45.1	53	-17	-17	71	0	0	31	-1	S-Amer.
PER5	25.5	-43.8	-43.8	52	-17	-17	70	1	1	46	-1	S-Amer.
PER6	26	-42.6	-42.6	52	-16	-16	71	2	2	46	-1	S-Amer.
NCHI1	23.7	-34.4	-34.4	45	-13	-13	64	6	6	52	-1	S-Amer.
NCHI2	28.9	-43.6	-34.6	57	-15	-6	76	3	12	54	-1	S-Amer.
NCHI3	30.3	-47.9	-41.9	63	-15	-9	78	-1	5	55	-1	S-Amer.
NCHI4	29.5	-46.6	-41.8	62	-14	-9	74	-2	2	54	-1	S-Amer.
NCHI5	29.8	-46.9	-41	62	-14	-8	75	-2	4	53	-1	S-Amer.
NCHI6	29.1	-45.1	-39.4	61	-14	-8	71	-3	3	52	-1	S-Amer.
JUAN1	29.8	-44.6	-38.9	62	-13	-7	72	-2	4	49	-1	S-Amer.
JUAN3	31.8	-45.7	-38.8	64	-13	-7	76	-1	5	48	-1	S-Amer.
SCHI1	26.7	-38.9	-38.9	55	-10	-10	62	-3	-3	42	0	S-Amer.
SCHI2	25.1	-36.5	-36.5	53	-9	-9	58	-3	-3	39	0	S-Amer.
SCHI3	30.6	-42	-42	62	-11	-11	70	-2	-2	35	0	S-Amer.
SCHI4	32.5	-43	-43	64	-11	-11	75	-1	-1	33	0	S-Amer.
SCHI5	32.9	-43.3	-43.3	64	-12	-12	76	0	0	20	0	S-Amer.
TRI1	33.3	-42.7	-42.7	65	-11	-11	77	1	1	12	0	S-Amer.
TRI2	34.4	-41.7	-41.7	66	-10	-10	77	1	1	5	0	S-Amer.
TRI3	-19.4	-40.2	-40.2	12	-6	-6	22	5	5	10	0	S-Amer.
TRI4	-19.9	-40.8	-40.8	11	-10	-10	21	1	1	18	0	S-Amer.
PAT1	-21.7	-41	-41	9	-10	-10	24	4	4	18	0	S-Amer.
PAT2	-20.8	-39.6	-39.6	10	-9	-9	22	3	3	20	0	S-Amer.
PAT3	-20.3	-32.3	-32.3	3	-9	-9	20	8	8	20	0	S-Amer.
BARB1	40.8	28.1	28.1	17	5	5	8	-5	-5	117	0	Carribean
BARB2	41.7	29.8	29.8	18	6	6	3	-9	-9	110	0	Carribean
ANTI1	41.8	31	31	18	7	7	3	-8	-8	98	0	Carribean
ANTI2	37.2	27.6	27.6	16	6	6	-1	-11	-11	90	0	Carribean
ANTI3	26.4	20.5	20.5	12	6	6	-6	-11	-11	84	0	Carribean
PORTO1	14.7	11.7	6.6	7	4	-1	-8	-11	-16	92	0	Carribean
PORTO2	8.5	7.3	1.3	5	3	-2	-8	-10	-15	100	0	Carribean
PORTO3	8.5	7.3	1.3	5	4	-2	-7	-9	-14	110	0	Carribean
SAND1	17.8	15.7	-17.9	3	3	-36	12	12	-27	33	1	Scotia
SAND2	29	24.4	-49	5	1	-73	4	-1	-74	36	1	Scotia
SAND3	33	26.9	-39.4	6	0	-63	-2	-8	-71	40	1	Scotia
SAND4	26.6	20.8	-8.5	4	-2	-32	-9	-15	-44	40	1	Scotia
SAND5	17	13.2	1.9	1	-2	-14	-12	-16	-27	40	1	Scotia
SAND6	20.6	15.8	17	3	-2	-1	-11	-16	-15	40	0	Scotia
MAK2	30.7	-6	15.6							99	0	Eurasia
MAK3	35	-2	19							98	0	Eurasia
MAK4	37.1	-0.4	21							97	0	Eurasia
KER1	100.3	53.7	53.7	73	27	27	54	8	8	95	1	Australia
KER2	100.4	49	49	73	21	21	55	4	4	97	1	Australia
KER3	104.1	49.8	49.8	76	22	22	58	4	4	99	1	Australia
KER4	104.5	44.9	44.9	76	16	16	58	-2	-2	101	1	Australia
KER5	103.5	39.4	39.4	76	12	12	58	-6	-6	103	1	Australia
TONG2	111.9	47	8	81	16	-23	63	-2	-41	106	1	Australia
TONG3	112.6	40.4	40.4	82	10	-67	64	-8	-85	107	1	Australia
TONG4	112.4	35.2	69.7	82	4	-107	65	-12	-124	108	1	Australia
TONG5	109.6	35.2	113.6	82	3	-104	66	-14	-121	108	1	Australia
SHEB2	17.6	-56.6	-101	33	-40	-85	41	-33	-78	45	1	Pacific
SHEB3	-3.2	-85.4	-96.1	19	-63	-74	32	-50	-61	48	1	Pacific
NHEB1	-2.5	-90.6	-105.1	22	-67	-81	34	-54	-69	60	1	Pacific
NHEB2	20.8	-67.4	-144.7	39	-50	-125	47	-41	-117	60	1	Pacific
BRET3	100.5	90.4	-19.5	76	64	-44	59	48	-61	31	1	N-Bism.
BRET2	92.7	94.4	17.5	74	72	-9	57	55	-26	31	1	N-Bism.
BRET1	86	38	22	78	29	13	67	18	2	31	1	N-Bism.


aAll velocities are expressed in mm a-1. Vsubn, Vupn, and Vtn (simply called Vsub, Vup, and Vt in the text) are the normal components of the subducting plate, upper plate, and trench in the three reference frames NNR, SB04, and HS3. Age is given in Ma. Back-arc strain is 1 for extension, 0 for neutral, and -1 for compression as deduced from the study of focal mechanisms of earthquakes (see Heuret and Lallemand [2005] for further details). Phil. Sea, Philippine Sea; N-Amer., North America; S-Amer., South America; N-Bism., north Bismarck.
