Table 1. Data Used in This Studya																				
Name																				
 	Lat., degreesN	Lon., degreesE	Az, degrees	as, degrees	ad, degrees	Dmax, km	Reference	L, km	Vcn	 Vcmpn	Vupn	Vtn, mm.a-1	Vsubn	Vzn	A, Ma	f, km	Fsp, 1012 N.m-1	UPN	Slab Edge	UPS
LUZ1	19	119,8	119	37	65	670	Lallemand et al. [2001]	809	97	96	96	94	2	80	32	2565	15	o	n	C1
BAT	20,5	120,2	74	41	75	670	Lallemand et al. [2001]	755	70	70	60	60	12	62	35	2172	15	o	n	C1
PHIL6	4	128,6	246	39	-	250	Bijwaard [1999]	-	16	77	7	-57	72	-	50	-	-	c	y	C1
PHIL5	8	127,3	267	35	-	250	Bijwaard [1999]	330	37	95	6	-62	92	28	50	1413	8	c	n	C1
PHIL4	10	126,8	253	36	-	250	Bijwaard [1999]	330	36	80	9	-44	74	28	50	1375	8	c	n	0
PHIL3	12	126,2	247	34	-	250	Bijwaard [1999]	300	42	71	10	-19	65	35	50	1767	7	c	n	0
PHIL2	14	125,2	248	33	-	150	Bijwaard [1999]	270	53	70	11	-4	63	29	45	1323	6	c	y	0
PHIL1	15,6	123,5	205	30	-	100	Bijwaard [1999]	250	36	2	14	52	-9	14	40	578	5	c	y	0
RYU1	23,4	124	345	37	65	670	Fukao et al. [2001]	809	96	51	-14	30	64	79	35	2774	16	c	y	E3
RYU2	24,2	127	325	34	57	600	Fukao et al. [2001]	790	85	56	-18	9	77	65	38	2453	16	c	y	E2
RYU3	25,7	129	320	34	58	350	Fukao et al. [2001]	489	87	55	-21	12	76	62	48	2973	11	c	n	E2
RYU4	27,5	130,5	310	35	61	325	Fukao et al. [2001]	447	82	53	-21	7	74	60	50	2984	10	c	n	E2
RYU5	29,8	132	300	39	64	300	Fukao et al. [2001]	393	73	48	-21	9	70	55	50	2772	9	c	n	E2
NAN3	31,8	134	335	12	-	100	Gutscher and Lallemand [1999]	601	48	48	-9	-9	56	8	17	135	8	c	n	C1
NAN2	32,6	135,5	340	15	-	100	Gutscher and Lallemand [1999]	483	42	42	-9	-9	51	9	17	148	7	c	n	C1
NAN1	33,1	137	345	19	-	100	Gutscher and Lallemand [1999]	384	37	37	-8	-8	45	10	21	202	6	c	n	C1
YAP	8,6	138	305	75	-	100	Bijwaard [1999]	129	3	3	-93	-93	96	2	30	65	2	o	y	0
SMAR5	10,8	140,5	359	39	-	350	Bijwaard [1999]	470	8	8	-38	-38	46	6	155	946	19	o	y	E2
SMAR4	11,4	142,5	350	43	64	400	Bijwaard [1999]	489	15	15	-47	-47	62	13	155	1939	20	o	y	E3
SMAR3	12	144,5	336	46	73	500	Bijwaard [1999]	566	56	23	-62	-31	86	50	156	7732	23	o	n	E3
SMAR2	13,3	146,5	314	40	74	900	Fukao et al. [2001]	761	65	31	-80	-44	110	57	156	8926	31	o	n	E3
SMAR1	15	147,5	289	35	84	900	Fukao et al. [2001]	766	69	32	-86	-48	118	60	153	9260	31	o	n	E3
NMAR4	17	147,8	271	34	86	900	Fukao et al. [2001]	770	59	31	-78	-46	109	51	150	7681	31	o	n	E3
NMAR3	19	147,6	260	35	86	900	Fukao et al. [2001]	764	46	30	-68	-57	98	40	148	5896	31	o	n	E3
NMAR2	21	146,9	235	36	84	900	Fukao et al. [2001]	761	31	20	-41	-34	61	27	147	3964	30	o	n	E3
NMAR1	23	145,1	225	40	72	900	Fukao et al. [2001]	768	18	17	-27	-27	44	15	145	2220	30	o	n	E3
IZU4	27	143,3	272	35	74	670	Fukao et al. [2001]	785	49	49	-60	-60	109	41	148	6127	31	o	n	E2
IZU3	29	142,9	252	33	71	670	Fukao et al. [2001]	806	45	45	-43	-43	88	37	141	5287	32	o	n	E2
IZU2	31	142,3	258	31	61	670	Fukao et al. [2001]	866	51	51	-44	-44	95	40	135	5349	33	o	n	E2
IZU1	33	142,1	261	29	50	670	Fukao et al. [2001]	969	55	55	-42	-42	97	38	129	4940	36	o	n	E2
JAP4	35	142,2	297	26	31	670	Fukao et al. [2001]	1343	93	101	-12	-21	114	46	127	5891	50	c	n	C3
JAP3	37	143,5	299	24	30	670	Fukao et al. [2001]	1397	92	101	-12	-20	112	44	132	5817	53	c	n	C3
JAP2	39	144,2	277	23	29	670	Fukao et al. [2001]	1444	86	96	-11	-20	106	40	131	5239	54	c	n	C3
JAP1	40,5	144,5	292	19	25	670	Fukao et al. [2001]	1674	90	99	-11	-20	110	36	128	4627	62	c	n	C3
SKOUR5	41,5	145,5	319	24	32	670	Fukao et al. [2001]	1336	77	77	-23	-23	100	38	128	4911	50	c	n	C2
SKOUR4	42,2	147	324	27	33	670	Fukao et al. [2001]	1276	74	74	-22	-22	95	39	120	4656	46	c	n	C2
SKOUR3	43,5	149	319	30	40	670	Fukao et al. [2001]	1098	76	76	-22	-22	99	47	118	5502	39	c	n	C2
SKOUR2	44,4	151	329	31	44	670	Fukao et al. [2001]	1027	71	71	-19	-19	90	46	118	5472	37	c	n	C2
SKOUR1	45,3	153	318	33	47	670	Fukao et al. [2001]	975	77	77	-21	-21	98	53	118	6229	35	c	n	C2
NKOUR3	47	155,1	308	35	48	900	Pankow and Lay [1999]	951	79	79	-22	-22	101	55	110	6105	33	c	n	C1
NKOUR2	49	157,5	314	36	50	850	Pankow and Lay [1999]	924	77	77	-19	-19	97	56	110	6149	32	c	n	C1
NKOUR1	51	160,2	304	37	51	850	Pankow and Lay [1999]	909	77	77	-19	-19	96	57	110	6235	31	c	n	C1
KAM2	53	162,3	300	38	56	670	Gorbatov et al. [2000]	860	75	75	-18	-18	93	58	100	5848	28	c	y	E1
KAM1	54,5	163,6	300	40	64	400	Gorbatov et al. [2000]	500	74	74	-17	-17	91	59	100	5899	16	c	y	E1
W_ALE1	51,6	173	28	37	-	300	Gorbatov et al. [2000]	430	21	21	5	5	17	15	45	669	10	c	y	C1
W_ALE2	51,1	175	16	40	-	300	Gorbatov et al. [2000]	440	36	36	2	2	35	24	45	1095	10	c	y	C1
C_ALE1	50,8	177	21	40	56	350	Gorbatov et al. [2000]	466	32	32	-3	-3	29	24	54	1282	11	c	n	C1
C_ALE2	50,4	179	12	40	57	400	Gorbatov et al. [2000]	522	42	42	-1	-1	42	32	56	1805	13	c	n	C1
C_ALE3	50,3	181	351	39	57,5	475	Gorbatov et al. [2000]	614	51	51	-2	-2	54	40	58	2303	15	c	n	0
C_ALE4	50,4	183	350	38	58	550	Gorbatov et al. [2000]	704	61	61	-5	-5	65	47	58	2745	18	c	n	0
C_ALE5	50,5	185	352	36	59	550	Gorbatov et al. [2000]	708	61	61	-5	-5	66	47	58	2742	18	c	n	0
C_ALE6	50,9	187	353	35,5	62	500	Gorbatov et al. [2000]	640	59	59	-3	-3	63	46	63	2904	17	c	n	0
E_ALE1	51,1	189	342	35	61	500	Gorbatov et al. [2000]	647	64	64	-6	-6	71	50	63	3122	17	c	n	0
E_ALE2	51,5	191	336	34	60	450	Gorbatov et al. [2000]	599	65	65	-7	-7	73	49	61	2998	15	c	n	0
E_ALE3	52	193	338	33	59	450	Gorbatov et al. [2000]	609	65	65	-6	-6	71	48	59	2813	15	c	n	E1
E_ALE4	52,5	195	338	32	-	400	Gorbatov et al. [2000]	590	64	64	-6	-6	70	43	58	2509	15	c	n	E1
E_ALE5	53,1	197	340	31	53	400	Gorbatov et al. [2000]	600	33	33	-5	-5	68	22	53	1159	14	c	n	0
W_ALA1	53,5	199	344	29	-	400	Gorbatov et al. [2000]	750	62	62	-4	-4	65	33	52	1706	18	c	n	0
W_ALA2	53,8	201	342	28	48	400	Gorbatov et al. [2000]	636	60	60	-3	-3	64	38	52	1961	15	c	n	0
W_ALA3	54,2	203	341	26	-	300	Gorbatov et al. [2000]	670	59	59	-3	-3	62	27	52	1381	16	c	n	0
W_ALA4	54,8	205	323	24	-	300	Gorbatov et al. [2000]	660	58	58	-7	-7	65	26	52	1369	16	c	n	0
W_ALA5	55,6	207	330	23	45	300	Gorbatov et al. [2000]	567	58	58	-5	-5	63	31	49	1495	13	c	n	0
E_ALA1	56,2	209	331	21	43	300	Gorbatov et al. [2000]	605	56	56	-4	-4	61	28	46	1267	14	c	n	C1
E_ALA2	57,1	211	320	19	40	300	Gorbatov et al. [2000]	656	52	52	-6	-6	58	24	45	1062	15	c	n	C1
E_ALA3	58	213	315	18	38	300	Gorbatov et al. [2000]	689	47	47	-6	-6	54	20	40	817	14	c	n	C1
E_ALA4	59,1	214,5	311	16	-	200	Gorbatov et al. [2000]	770	43	43	-7	-7	50	11	39	437	16	c	y	C1
E_ALA5	59,2	215,5	345	14	-	200	Gorbatov et al. [2000]	830	52	52	2	2	51	13	39	489	17	c	y	C1
CASC1	50	231,7	70	20	-	400	Bostock and VanDecar [1995]	-	44	46	21	19	25	-	5	-	-	c	y	0
CASC2	48	233,4	70	17	45	300	Bostock and VanDecar [1995]	675	37	39	22	20	17	16	10	163	7	c	y	0
CASC3	46	234,1	80	13	45	300	Bostock and VanDecar [1995]	803	31	32	24	23	8	12	11	127	9	c	n	0
CASC4	44	234,6	86	16	45	300	Bostock and VanDecar [1995]	701	24	24	24	24	0	10	11	113	8	c	y	E1
MEX1	19,1	254,5	55	38	-	300	Bijwaard [1999]	470	40	40	36	36	4	25	8	202	4	c	y	E1
MEX2	17,9	256	37	30	-	300	Bijwaard [1999]	-	47	47	30	30	18	-	8	-	-	c	y	E1
MEX3	16,9	258	25	20	-	300	Bijwaard [1999]	-	51	51	25	25	26	-	15	-	-	c	n	E1
MEX4	16,3	260	30	16	-	300	Bijwaard [1999]	-	55	55	23	23	33	-	15	-	-	c	n	E1
MEX5	15,6	262	18	18	-	300	Bijwaard [1999]	-	60	60	22	22	38	-	15	-	-	c	n	E1
MEX6	15,3	264	10	25	-	300	Bijwaard [1999]	570	61	61	17	17	44	32	15	478	7	c	n	E1
COST1	14,2	266	21	27	55	300	Fukao et al. [2001]	489	63	63	21	21	42	38	18	692	7	c	n	E1
COST2	13,2	268	27	28	54	400	Fukao et al. [2001]	606	68	68	20	20	49	45	22	987	9	c	n	0
COST3	12,3	270	22	30	64	400	Fukao et al. [2001]	556	73	73	19	19	55	52	24	1255	9	c	n	0
COST4	11,4	272	32	32	66	400	Fukao et al. [2001]	537	78	78	22	22	55	58	28	1621	9	c	n	0
COST5	9,4	274	30	29	57	400	Fukao et al. [2001]	586	83	83	22	22	62	57	26	1474	10	c	y	C1
COL1	5	281,9	113	28	50	670	Bijwaard [1999]	978	45	53	39	27	15	31	19	587	14	c	y	C3
COL2	3,5	280,9	120	26	45	670	Bijwaard [1999]	1056	47	50	36	33	14	30	15	450	13	c	y	C3
COL3	2	279,9	115	21	45	670	Bijwaard [1999]	1120	42	55	38	25	16	25	12	302	13	c	n	C3
PER1	-4	278,1	91	11	45	1200	Bijwaard [1999]	1426	69	69	47	47	23	33	30	976	26	c	n	C3
PER2	-5,5	278,1	83	10	46	1200	Bijwaard [1999]	1477	71	71	47	47	24	32	30	966	27	c	n	C3
PER3	-7	278,4	71	10	47	1200	Bijwaard [1999]	1465	71	71	46	46	25	32	31	1002	27	c	n	C3
PER4	-9	279,2	64	11	49	1200	Bijwaard [1999]	1377	70	70	45	45	25	34	31	1048	25	c	n	C3
PER5	-11	280,4	59	12	49	1200	Bijwaard [1999]	1323	68	68	44	44	26	35	46	1593	30	c	n	C3
PER6	-13	281,7	56	12	52	1200	Bijwaard [1999]	1293	68	68	43	43	26	35	46	1616	29	c	n	C3
NCHI1	-17	285,9	38	17	50	1200	Fukao et al. [2001]	1139	58	58	34	34	24	34	52	1783	27	c	n	C3
NCHI2	-19	288	56	25	41	1200	Fukao et al. [2001]	1126	63	73	44	35	29	38	54	2036	27	c	n	C3
NCHI3	-21	288,7	84	23	40	1100	Fukao et al. [2001]	1168	72	78	48	42	30	42	55	2285	29	c	n	C3
NCHI4	-23	288,7	95	18	45	1000	Fukao et al. [2001]	1175	71	75	47	42	30	40	54	2176	28	c	n	C3
NCHI5	-25	288,6	93	17	47	900	Fukao et al. [2001]	1173	71	77	47	41	30	41	53	2156	28	c	n	C3
NCHI6	-27	288,3	101	14	49	800	Fukao et al. [2001]	1239	68	73	45	39	29	37	52	1910	29	c	n	C3
JUAN1	-29	287,7	99	13,5	-	670	Bijwaard [1999]	980	69	75	45	39	30	47	49	2322	23	c	n	C3
JUAN2	-32	287,4	95	12	-	670	Bijwaard [1999]	1000	72	77	46	39	32	48	48	2299	23	c	n	C3
SCHI1	-34	286,9	113	21	35	670	Bijwaard [1999]	1299	66	66	39	39	27	34	42	1423	28	c	n	C1
SCHI2	-35,5	286,2	118	22	-	-	-	-	62	62	37	37	25	-	39	-	-	c	n	C1
SCHI3	-37	285,4	105	24	-	-	-	-	72	72	42	42	31	-	35	-	-	c	n	C1
SCHI4	-39	284,9	99	25	-	-	-	-	75	75	43	43	33	-	33	-	-	c	n	C1
SCHI5	-41	284,7	97	25	-	-	-	-	75	75	43	43	33	-	20	-	-	c	n	C1
BARB1	12	302,6	278	32	-	670	Bijwaard [1999]	930	12	12	-28	-28	41	8	117	969	33	p	y	E1
BARB2	14	302,3	251	36	55	670	Bijwaard [1999]	878	12	12	-30	-30	42	9	110	999	30	p	y	E1
ANTI1	16	301,2	250	39	-	670	Bijwaard [1999]	900	11	11	-31	-31	42	8	98	788	29	p	n	E1
ANTI2	18	299,8	230	37	-	670	Bijwaard [1999]	870	9	9	-28	-28	37	7	90	652	27	p	n	E1
ANTI3	19,3	298	205	35	-	500	Bijwaard [1999]	660	6	6	-21	-21	26	5	84	395	20	p	n	E1
PORTO1	19,8	296	185	32	-	500	Bijwaard [1999]	640	8	3	-12	-7	15	6	92	553	20	p	n	E1
PORTO2	19,8	294	176	35	-	500	Bijwaard [1999]	630	5	1	-7	-1	9	4	100	413	21	p	n	E1
PORTO3	19,7	292	176	36	-	500	Bijwaard [1999]	600	5	1	-7	-1	9	4	110	477	21	p	y	E1
SAND1	-60	335,4	319	51	72	670	Bijwaard [1999]	734	40	6	-16	18	18	36	33	1193	14	o	y	E3
SAND2	-58	336,2	265	50	83	670	Bijwaard [1999]	712	77	4	-24	49	29	72	36	2604	14	o	y	E3
SAND3	-56	334,9	240	55	84	670	Bijwaard [1999]	701	69	7	-27	39	33	66	40	2632	15	o	y	E3
SAND4	-55,1	333	205	57	86	670	Bijwaard [1999]	695	36	7	-21	9	27	34	40	1368	14	o	y	E3
SAND5	-54,9	331	184	58	80	-	-	-	15	5	-13	-2	17	-	40	-	-	o	y	E3
PUY	-48	164,5	98	60	-	150	-	-	23	23	66	66	-43	-	33	-	-	o	y	0
KER1	-35	181,6	293	44	70	900	Fukao et al. [2001]	760	46	46	-54	-54	100	41	95	3861	24	o	n	E2
KER2	-33	182,2	288	46	68	1000	Fukao et al. [2001]	762	52	52	-49	-49	100	45	97	4395	25	o	n	E2
KER3	-31	183,2	291	40	62	1100	Fukao et al. [2001]	812	55	55	-50	-50	104	45	99	4462	27	o	n	E2
KER4	-29	183,9	286	39	57	1200	Fukao et al. [2001]	848	59	59	-45	-45	105	47	101	4714	28	o	n	E2
KER5	-27	184,5	281	38	56,5	1300	Fukao et al. [2001]	857	64	64	-39	-39	104	50	103	5172	29	o	n	E2
TONG1	-23	185,4	298	39	57	670	Hall and Spakman [2002]	848	104	65	-47	-8	112	82	106	8739	29	o	n	E3
TONG2	-21	186,5	291	38	54	670	Hall and Spakman [2002]	877	148	72	-40	40	113	113	107	12070	30	o	n	E3
TONG3	-19	187,2	287	36	51	670	Hall and Spakman [2002]	914	183	76	-35	93	112	134	108	14489	31	o	n	E3
TONG4	-17	187,8	286	35	53	670	Hall and Spakman [2002]	900	183	76	-35	93	112	136	108	14708	31	o	y	E3
SHEB1	-20	168,2	61	50	66	670	Hall and Spakman [2002]	760	120	75	57	101	18	106	45	4762	17	o	y	E3
SHEB2	-18	167,4	82	48	71	670	Hall and Spakman [2002]	745	85	82	85	96	3	77	48	3684	17	o	y	E3
NHEB1	-14	166,2	83	52	82	670	Hall and Spakman [2002]	709	103	88	91	105	3	98	60	5863	18	o	y	E3
NHEB2	-12	165,7	66	57	72	670	Hall and Spakman [2002]	722	163	87	67	145	21	151	-	-	18	o	y	E3
BRET3	-6,1	152	335	44	70	670	Hall and Spakman [2002]	760	120	11	-90	20	101	106	31	3283	14	o	n	E3
BRET2	-7	150	339	41	82	670	Hall and Spakman [2002]	741	75	2	-94	-18	93	68	31	2105	14	o	y	E3
BRET1	-7,3	148	10	37	76	670	Hall and Spakman [2002]	769	65	48	0	-22	83	56	31	1747	14	o	y	E3
aSee the main text for details. 159 oceanic subduction transects are listed. In the column related to upper plate nature (UPN), c means continental, and o means oceanic. In the column related to slab edge, y means yes and n means no. In the column related to upper plate strain (UPS), 0 means neutral, C means compressive, and E means extensive. The scale from active back-arc spreading to active back-arc compression is thus E3-E2-E1-0-C1-C2-C3.
